"Name","CombinedTempDiskAndCachedWriteBytesPerSecond","HyperVGenerations","MemoryGBFlattened","EncryptionAtHostSupported","PremiumIO","Tier","CpuArchitectureType","Size","MaxResourceVolumeMB","MaxDataDiskCount","CombinedTempDiskAndCachedReadBytesPerSecond","CombinedTempDiskAndCachedIOPS","RdmaEnabled","cpuToRamRatio","vCPUsPerCore","ACUs","MaxNetworkInterfaces","vCPUsAvailable","MemoryPreservingMaintenanceSupported","retailPrice","retailPriceFlattened","vCPUs","EphemeralOSDiskSupported","MemoryGB","CapacityReservationSupported","LowPriorityCapable","AcceleratedNetworkingEnabled","VMDeploymentTypes","OSVhdSizeMB"
"Standard_E64-32s_v4",,"V1,V2","50400","True","True","Standard","x64","E64-32s_v4","0","32",,,"False","8","2","195","8","32","True","6.976","69760","64","False","504","True","True","True","IaaS","1047552"
"Standard_E64ds_v4",,"V1,V2","50400","True","True","Standard","x64","E64ds_v4","2457600","32",,"615000","False","8","2","195","8","64","True","7.552","75520","64","True","504","True","True","True","IaaS","1047552"
"Standard_E64d_v4",,"V1,V2","50400","True","False","Standard","x64","E64d_v4","2457600","32",,"615000","False","8","2","195","8","64","True","7.552","75520","64","False","504","True","True","True","IaaS,PaaS","1047552"
"Standard_E64is_v3","1073741824","V1,V2","43200","True","True","Standard","x64","E64is_v3","884736","32","1073741824","128000","False","7","2","160","8","64","True","6.573","65730","64","True","432","False","True","True","IaaS","1047552"
"Standard_E64i_v3","524288000","V1","43200","False","False","Standard","x64","E64i_v3","1638400","32","1048576000","96000","False","7","2","160","8","64","True","6.573","65730","64","False","432","False","True","True","IaaS,PaaS","1047552"
"Standard_E64s_v3","1073741824","V1,V2","43200","True","True","Standard","x64","E64s_v3","884736","32","1073741824","128000","False","7","2","160","8","64","True","6.573","65730","64","True","432","True","True","True","IaaS","1047552"
"Standard_E64s_v4",,"V1,V2","50400","True","True","Standard","x64","E64s_v4","0","32",,,"False","8","2","195","8","64","True","6.976","69760","64","False","504","True","True","True","IaaS","1047552"
"Standard_E64_v3","524288000","V1","43200","False","False","Standard","x64","E64_v3","1638400","32","1048576000","96000","False","7","2","160","8","64","True","6.573","65730","64","False","432","True","True","True","IaaS,PaaS","1047552"
"Standard_E64_v4",,"V1,V2","50400","False","False","Standard","x64","E64_v4","0","32",,,"False","8","2","195","8","64","True","6.976","69760","64","False","504","True","True","True","IaaS","1047552"
"Standard_E8-2as_v4","134217728","V1,V2","6400","True","True","Standard","x64","E8-2as_v4","131072","16","134217728","16000","False","8","2","230","4","2","True","0.872","8720","8","True","64","True","True","True","IaaS,PaaS","1047552"
